Group,Ind,P1,P2,P3,P4
C,G59,0.01,0.067,0.013,0.91
C,G950,0.676,0.061,0.229,0.034
C,G103,0.852,0.046,0.073,0.03
C,G114,0.003,0.004,0.016,0.976
C,G244,0.976,0.004,0.016,0.004
C,G759,0.012,0.956,0.006,0.027
C,G548,0.02,0.123,0.048,0.809
C,G807,0.003,0.014,0.008,0.975
C,G836,0.023,0.07,0.828,0.079
C,G985,0.992,0.002,0.003,0.003
C,G10,0.993,0.003,0.002,0.002
C,G678,0.793,0.109,0.019,0.08
C,G107,0.002,0.947,0.011,0.04
C,G47,0.013,0.016,0.835,0.137
C,G446,0.011,0.083,0.624,0.282
C,G349,0.005,0.102,0.026,0.867
C,G460,0.003,0.006,0.017,0.974
C,G959,0.984,0.004,0.007,0.004
C,G840,0.002,0.006,0.983,0.009
C,G18,0.933,0.01,0.039,0.018
C,G101,0.773,0.008,0.172,0.047
C,G713,0.714,0.015,0.256,0.015
C,G690,0.003,0.397,0.478,0.121
C,G707,0.006,0.027,0.281,0.686
C,G931,0.704,0.195,0.079,0.022
C,G841,0.005,0.037,0.948,0.011
C,G365,0.006,0.007,0.317,0.669
C,G62,0.987,0.003,0.003,0.007
C,G374,0.009,0.007,0.373,0.611
C,G635,0.003,0.618,0.366,0.014
C,G855,0.63,0.088,0.271,0.012
C,G698,0.004,0.09,0.086,0.821
C,G507,0.003,0.094,0.134,0.77
C,G634,0.003,0.661,0.246,0.09
C,G545,0.008,0.012,0.01,0.97
C,G609,0.969,0.005,0.015,0.012
C,G839,0.004,0.007,0.729,0.26
D,G438,0.006,0.014,0.205,0.775
D,G267,0.063,0.008,0.914,0.015
D,G636,0.003,0.633,0.332,0.033
D,G727,0.003,0.013,0.019,0.965
D,G479,0.016,0.009,0.011,0.964
D,G801,0.005,0.018,0.015,0.961
D,G260,0.003,0.019,0.951,0.027
D,G245,0.948,0.012,0.015,0.025
D,G922,0.766,0.025,0.202,0.006
D,G463,0.003,0.036,0.035,0.926
D,G815,0.006,0.183,0.031,0.78
D,G29,0.002,0.02,0.973,0.004
D,G546,0.003,0.084,0.041,0.873
D,G224,0.011,0.004,0.083,0.902
